Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Sacramento Kings,SAC vs. PHX,3/8/2013,W,240,121,45,82,54.9,13,27,48.1,18,21,85.7,6,32,38,30,8,4,16,21,9
Sacramento Kings,SAC vs. MIL,3/10/2013,L,240,113,44,94,46.8,6,22,27.3,19,25,76,10,33,43,23,7,3,10,25,-2
Sacramento Kings,SAC vs. CHI,3/13/2013,W,240,121,45,83,54.2,9,23,39.1,22,26,84.6,7,33,40,17,9,3,5,16,42
Sacramento Kings,SAC @ LAL,3/17/2013,L,240,102,42,96,43.8,10,31,32.3,8,8,100,7,26,33,21,7,3,6,22,-11
Sacramento Kings,SAC vs. LAC,3/19/2013,W,240,116,37,73,50.7,14,28,50,28,34,82.4,8,29,37,25,8,1,17,25,15
Sacramento Kings,SAC vs. MIN,3/21/2013,W,240,101,40,75,53.3,6,18,33.3,15,18,83.3,4,36,40,21,4,6,17,23,3
Sacramento Kings,SAC @ DEN,3/23/2013,L,240,95,39,86,45.3,8,28,28.6,9,17,52.9,10,26,36,24,5,10,14,26,-6
Sacramento Kings,SAC vs. PHI,3/24/2013,L,240,103,42,85,49.4,9,24,37.5,10,12,83.3,9,28,37,18,5,3,13,15,-14
Sacramento Kings,SAC @ GSW,3/27/2013,W,240,105,41,90,45.6,11,28,39.3,12,21,57.1,16,29,45,24,6,1,15,14,7
Sacramento Kings,SAC @ PHX,3/28/2013,W,240,117,44,83,53,7,18,38.9,22,24,91.7,13,37,50,21,5,3,18,21,14
Sacramento Kings,SAC vs. LAL,3/30/2013,L,240,98,39,86,45.3,7,24,29.2,13,16,81.3,16,28,44,19,1,2,12,18,-5
Sacramento Kings,SAC vs. HOU,4/3/2013,L,240,102,34,87,39.1,6,21,28.6,28,34,82.4,13,27,40,19,12,4,12,20,-10
Sacramento Kings,SAC vs. DAL,4/5/2013,L,240,108,39,87,44.8,6,26,23.1,24,31,77.4,12,33,45,20,5,1,12,16,-9
Sacramento Kings,SAC vs. MEM,4/7/2013,L,240,87,29,81,35.8,7,25,28,22,28,78.6,10,31,41,18,9,4,15,24,-2
Sacramento Kings,SAC vs. NOH,4/10/2013,W,240,121,47,85,55.3,10,20,50,17,23,73.9,9,28,37,26,10,7,12,28,11
Sacramento Kings,SAC @ SAS,4/12/2013,L,240,101,39,89,43.8,11,20,55,12,15,80,9,25,34,26,13,4,14,16,-7
Sacramento Kings,SAC @ HOU,4/14/2013,L,240,100,39,100,39,8,25,32,14,17,82.4,15,30,45,24,10,10,15,21,-21
Sacramento Kings,SAC @ OKC,4/15/2013,L,240,95,38,87,43.7,7,27,25.9,12,21,57.1,12,33,45,19,8,0,15,15,-9
Sacramento Kings,SAC vs. LAC,4/17/2013,L,240,108,40,89,44.9,9,26,34.6,19,25,76,12,32,44,23,5,4,11,20,-4
